port1,port2,cnt,start_lat,start_lon,end_lat,end_lon,text
"All Other Virgin Islands Ports ,Virgin Islands","Caucedo,Dominican Republic",2,,,18.425332,-69.632825,"From All Other Virgin Islands Ports ,Virgin Islands to Caucedo,Dominican Republic"
"Anvers,Belgium","Adelaide,Australia",49,51.2194475,4.402464299999999,-34.9284989,138.6007456,"From Anvers,Belgium to Adelaide,Australia"
"Anvers,Belgium","Anvers,Belgium",68,51.2194475,4.402464299999999,51.2194475,4.402464299999999,"From Anvers,Belgium to Anvers,Belgium"
"Anvers,Belgium","Bremerhaven,Federal Republic of Germany",5,51.2194475,4.402464299999999,53.5395845,8.580942499999999,"From Anvers,Belgium to Bremerhaven,Federal Republic of Germany"
"Anvers,Belgium","Callao,Peru",13,51.2194475,4.402464299999999,-12.050849099999999,-77.1259843,"From Anvers,Belgium to Callao,Peru"
"Anvers,Belgium","Gozo Island,Malta",1,51.2194475,4.402464299999999,36.0442999,14.2512221,"From Anvers,Belgium to Gozo Island,Malta"
"Anvers,Belgium","Hamilton,Bermuda",14,51.2194475,4.402464299999999,32.2945837,-64.7858887,"From Anvers,Belgium to Hamilton,Bermuda"
"Anvers,Belgium","Le Havre,France",16,51.2194475,4.402464299999999,49.49437,0.107929,"From Anvers,Belgium to Le Havre,France"
"Anvers,Belgium","Mina Dumyat,Egypt",2,51.2194475,4.402464299999999,31.405874199999996,31.809753399999998,"From Anvers,Belgium to Mina Dumyat,Egypt"
"Anvers,Belgium","Mundra,India",2,51.2194475,4.402464299999999,22.8395202,69.7213266,"From Anvers,Belgium to Mundra,India"
"Anvers,Belgium","Panama Canal  Caribbean,Panama",1,51.2194475,4.402464299999999,,,"From Anvers,Belgium to Panama Canal  Caribbean,Panama"
"Anvers,Belgium","Port Elizabeth,South Africa",1,51.2194475,4.402464299999999,-33.7139247,25.5207358,"From Anvers,Belgium to Port Elizabeth,South Africa"
"Anvers,Belgium","Port Qasim,Pakistan",1,51.2194475,4.402464299999999,24.7696943,67.3346881,"From Anvers,Belgium to Port Qasim,Pakistan"
"Anvers,Belgium","Progreso,Mexico",8,51.2194475,4.402464299999999,21.2811908,-89.66516279999998,"From Anvers,Belgium to Progreso,Mexico"
"Anvers,Belgium","Puerto Cortes,Honduras",20,51.2194475,4.402464299999999,15.825072,-87.92857769999998,"From Anvers,Belgium to Puerto Cortes,Honduras"
"Anvers,Belgium","Puerto Manzanillo,Panama",20,51.2194475,4.402464299999999,9.3651477,-79.88115140000001,"From Anvers,Belgium to Puerto Manzanillo,Panama"
"Anvers,Belgium","Rotterdam,Netherlands",1,51.2194475,4.402464299999999,51.9244201,4.4777325999999995,"From Anvers,Belgium to Rotterdam,Netherlands"
"Anvers,Belgium","Saint John, NB,Canada",2,51.2194475,4.402464299999999,45.2733153,-66.06330799999999,"From Anvers,Belgium to Saint John, NB,Canada"
"Anvers,Belgium","Salalah,Oman",14,51.2194475,4.402464299999999,17.0506675,54.1065864,"From Anvers,Belgium to Salalah,Oman"
"Anvers,Belgium","Santo Tomas de Castilla,Guatemala",6,51.2194475,4.402464299999999,15.690179999999998,-88.620407,"From Anvers,Belgium to Santo Tomas de Castilla,Guatemala"
"Anvers,Belgium","Shanghai ,China (Mainland)",1,51.2194475,4.402464299999999,31.237137,121.487881,"From Anvers,Belgium to Shanghai ,China (Mainland)"
"Anvers,Belgium","South Riding Point,Bahamas",3,51.2194475,4.402464299999999,26.63056,-78.23007700000001,"From Anvers,Belgium to South Riding Point,Bahamas"
"Anvers,Belgium","Tampico,Mexico",4,51.2194475,4.402464299999999,22.233104100000002,-97.861099,"From Anvers,Belgium to Tampico,Mexico"
"Apapa,Nigeria","Algeciras,Spain",1,6.4446406,3.3640841,36.140759100000004,-5.456233,"From Apapa,Nigeria to Algeciras,Spain"
"Apapa,Nigeria","Callao,Peru",10,6.4446406,3.3640841,-12.050849099999999,-77.1259843,"From Apapa,Nigeria to Callao,Peru"
"Apia,Western Samoa","Buenaventura,Colombia",1,-13.8506958,-171.75135509999998,3.8830470999999998,-77.01972119999998,"From Apia,Western Samoa to Buenaventura,Colombia"
"Apia,Western Samoa","Vacamonte,Panama",1,-13.8506958,-171.75135509999998,8.9108924,-79.7035265,"From Apia,Western Samoa to Vacamonte,Panama"
